month,year,temp
1,1854,64.5908
2,1854,65.372
3,1854,64.9688
4,1854,59.927
5,1854,57.5042
6,1854,54.518
7,1854,53.1914
8,1854,52.8044
9,1854,53.3912
10,1854,54.7538
11,1854,57.317
12,1854,60.0296
1,1855,63.3578
2,1855,64.346
3,1855,63.6584
4,1855,61.5848
5,1855,58.0028
6,1855,54.842
7,1855,53.1554
8,1855,52.3094
9,1855,52.61
10,1855,57.407
11,1855,58.1558
12,1855,60.9206
1,1856,61.8422
2,1856,62.033
3,1856,62.1266
4,1856,59.801
5,1856,55.4288
6,1856,53.2688
7,1856,50.9306
8,1856,51.5516
9,1856,52.8494
10,1856,53.9078
11,1856,55.5854
12,1856,63.7466
1,1857,63.5648
2,1857,63.1166
3,1857,62.1446
4,1857,58.5608
5,1857,53.8034
6,1857,52.9538
7,1857,52.6676
8,1857,52.3364
9,1857,53.3354
10,1857,53.9888
11,1857,56.4602
12,1857,59.5634
1,1858,61.0502
2,1858,63.3416
3,1858,62.8052
4,1858,57.5726
5,1858,55.0436
6,1858,53.4056
7,1858,51.0404
8,1858,52.4174
9,1858,53.5388
10,1858,54.6008
11,1858,57.254
12,1858,62.276
1,1859,64.5872
2,1859,65.4764
3,1859,63.0788
4,1859,61.016
5,1859,57.407
6,1859,54.3794
7,1859,52.7036
8,1859,51.89
9,1859,52.3202
10,1859,57.3152
11,1859,58.595
12,1859,61.4156
1,1860,65.2388
2,1860,65.804
3,1860,63.7088
4,1860,62.105
5,1860,58.3124
6,1860,55.3352
7,1860,52.6028
8,1860,51.4688
9,1860,52.9808
10,1860,55.7942
11,1860,60.0872
12,1860,64.9634
1,1861,63.9734
2,1861,68.9846
3,1861,65.6078
4,1861,63.0572
5,1861,60.3302
6,1861,57.7382
7,1861,54.6116
8,1861,52.3562
9,1861,55.2866
10,1861,58.3754
11,1861,60.6596
12,1861,64.2272
1,1862,64.283
2,1862,68.4356
3,1862,65.9192
4,1862,62.0546
5,1862,57.542
6,1862,54.3596
7,1862,54.4784
8,1862,53.5118
9,1862,56.0588
10,1862,55.9904
11,1862,60.6974
12,1862,62.2904
1,1863,65.9498
2,1863,64.2596
3,1863,63.6476
4,1863,58.6634
5,1863,57.0434
6,1863,54.113
7,1863,52.7378
8,1863,50.9648
9,1863,51.998
10,1863,55.1426
11,1863,55.328
12,1863,59.7524
1,1864,67.3232
2,1864,68.0738
3,1864,64.0526
4,1864,63.0752
5,1864,58.01
6,1864,55.0634
7,1864,55.4144
8,1864,50.7146
9,1864,55.904
10,1864,58.3358
11,1864,61.8296
12,1864,66.3548
1,1865,66.8336
2,1865,67.5932
3,1865,65.3756
4,1865,61.6586
5,1865,56.867
6,1865,53.8502
7,1865,52.3886
8,1865,52.124
9,1865,54.1544
10,1865,55.0238
11,1865,59.4608
12,1865,61.8836
1,1866,66.3566
2,1866,68.846
3,1866,66.1676
4,1866,61.5794
5,1866,57.812
6,1866,53.7026
7,1866,54.5684
8,1866,54.6854
9,1866,56.7734
10,1866,59.3294
11,1866,63.3092
12,1866,66.191
1,1867,68.5094
2,1867,66.992
3,1867,64.5098
4,1867,62.7998
5,1867,57.4934
6,1867,52.9466
7,1867,54.6908
8,1867,52.8314
9,1867,55.5782
10,1867,57.209
11,1867,57.3314
12,1867,63.041
1,1868,63.7088
2,1868,62.9726
3,1868,63.3146
4,1868,60.2762
5,1868,56.8994
6,1868,54.005
7,1868,53.5982
8,1868,52.052
9,1868,53.7008
10,1868,55.3118
11,1868,58.5104
12,1868,60.7874
1,1869,64.7744
2,1869,65.1074
3,1869,63.2642
4,1869,61.1204
5,1869,56.66
6,1869,54.8294
7,1869,51.449
8,1869,52.9124
9,1869,53.8574
10,1869,55.9886
11,1869,59.4338
12,1869,62.9906
1,1870,65.3702
2,1870,65.9174
3,1870,64.382
4,1870,60.0296
5,1870,57.7994
6,1870,56.1974
7,1870,53.3066
8,1870,52.9034
9,1870,54.1166
10,1870,57.0704
11,1870,61.1492
12,1870,59.1656
1,1871,62.915
2,1871,64.0076
3,1871,63.338
4,1871,59.6606
5,1871,58.2116
6,1871,54.77
7,1871,54.1724
8,1871,52.556
9,1871,53.0798
10,1871,55.9292
11,1871,58.5752
12,1871,61.3958
1,1872,66.4898
2,1872,68.0234
3,1872,64.1642
4,1872,61.9844
5,1872,59.2718
6,1872,55.184
7,1872,54.005
8,1872,51.9728
9,1872,54.725
10,1872,55.328
11,1872,60.125
12,1872,65.6204
1,1873,64.2056
2,1873,64.6934
3,1873,64.9202
4,1873,60.161
5,1873,58.3592
6,1873,55.4774
7,1873,52.6298
8,1873,53.3606
9,1873,54.2048
10,1873,56.3846
11,1873,59.3672
12,1873,63.9068
1,1874,66.3242
2,1874,66.3098
3,1874,65.3252
4,1874,61.0412
5,1874,57.8102
6,1874,54.1598
7,1874,52.1906
8,1874,53.7998
9,1874,54.9284
10,1874,54.9644
11,1874,59.0234
12,1874,61.88
1,1875,64.58
2,1875,66.9002
3,1875,64.328
4,1875,63.2516
5,1875,58.1936
6,1875,55.283
7,1875,54.3596
8,1875,52.3022
9,1875,52.7882
10,1875,55.8266
11,1875,57.7958
12,1875,63.6638
1,1876,65.3684
2,1876,66.191
3,1876,65.5322
4,1876,61.9322
5,1876,58.2872
6,1876,55.0526
7,1876,53.9006
8,1876,53.2256
9,1876,54.5594
10,1876,58.4798
11,1876,60.8378
12,1876,61.7522
1,1877,64.5638
2,1877,65.4908
3,1877,64.9724
4,1877,59.9396
5,1877,56.6096
6,1877,54.2228
7,1877,51.7082
8,1877,53.0798
9,1877,53.4452
10,1877,56.5988
11,1877,59.7758
12,1877,61.889
1,1878,62.4236
2,1878,63.1724
3,1878,64.0778
4,1878,62.186
5,1878,56.1326
6,1878,55.4378
7,1878,52.4426
8,1878,51.7064
9,1878,56.057
10,1878,56.237
11,1878,60.3158
12,1878,64.8428
1,1879,64.2218
2,1879,63.4064
3,1879,64.6448
4,1879,58.9316
5,1879,58.8992
6,1879,54.2822
7,1879,52.457
8,1879,52.3832
9,1879,55.8914
10,1879,56.2028
11,1879,60.5894
12,1879,62.8142
1,1880,65.156
2,1880,67.4546
3,1880,65.849
4,1880,62.5262
5,1880,58.9658
6,1880,54.149
7,1880,53.447
8,1880,52.9862
9,1880,55.6736
10,1880,56.372
11,1880,60.2996
12,1880,61.88
1,1881,62.8358
2,1881,66.5078
3,1881,65.1218
4,1881,62.3894
5,1881,58.1054
6,1881,55.724
7,1881,53.7368
8,1881,53.5478
9,1881,54.7124
10,1881,56.4116
11,1881,59.909
12,1881,61.3328
1,1882,63.95
2,1882,64.0076
3,1882,65.8814
4,1882,62.3336
5,1882,56.9372
6,1882,55.7726
7,1882,53.2382
8,1882,52.5848
9,1882,55.3298
10,1882,55.2326
11,1882,57.9938
12,1882,63.0734
1,1883,66.4988
2,1883,67.5698
3,1883,66.0056
4,1883,59.7668
5,1883,57.5726
6,1883,54.7052
7,1883,53.186
8,1883,52.3112
9,1883,53.465
10,1883,55.049
11,1883,57.3908
12,1883,60.1736
1,1884,60.395
2,1884,62.1914
3,1884,62.2904
4,1884,59
5,1884,55.1102
6,1884,54.2336
7,1884,52.961
8,1884,53.8376
9,1884,54.1688
10,1884,55.6142
11,1884,57.0794
12,1884,60.629
1,1885,62.4416
2,1885,64.7294
3,1885,63.32
4,1885,59.3492
5,1885,56.7068
6,1885,55.1498
7,1885,53.8214
8,1885,52.322
9,1885,53.7494
10,1885,55.1138
11,1885,58.1846
12,1885,61.4156
1,1886,65.1902
2,1886,67.172
3,1886,64.6844
4,1886,62.0294
5,1886,57.2702
6,1886,53.006
7,1886,51.4418
8,1886,52.5488
9,1886,53.1788
10,1886,55.5548
11,1886,59.3492
12,1886,61.0826
1,1887,67.6958
2,1887,67.2818
3,1887,66.1226
4,1887,62.3516
5,1887,57.398
6,1887,55.4756
7,1887,53.2598
8,1887,50.8226
9,1887,53.4272
10,1887,55.382
11,1887,57.407
12,1887,60.476
1,1888,63.2462
2,1888,62.6252
3,1888,63.0212
4,1888,58.7786
5,1888,56.9876
6,1888,53.8592
7,1888,53.2688
8,1888,54.0266
9,1888,53.6252
10,1888,55.4774
11,1888,56.2874
12,1888,58.3574
1,1889,65.3126
2,1889,65.6438
3,1889,63.7178
4,1889,60.4274
5,1889,57.5258
6,1889,54.7448
7,1889,53.1392
8,1889,52.8134
9,1889,55.904
10,1889,56.8202
11,1889,58.8074
12,1889,62.6936
1,1890,62.3732
2,1890,66.074
3,1890,64.013
4,1890,62.0564
5,1890,57.182
6,1890,55.7168
7,1890,53.6972
8,1890,53.2256
9,1890,55.103
10,1890,57.722
11,1890,58.2656
12,1890,62.8574
1,1891,63.7664
2,1891,65.4764
3,1891,63.6818
4,1891,59.8388
5,1891,56.2838
6,1891,51.6722
7,1891,51.9278
8,1891,53.087
9,1891,55.0886
10,1891,56.4242
11,1891,59.2664
12,1891,64.3118
1,1892,64.4414
2,1892,65.2874
3,1892,65.813
4,1892,62.0924
5,1892,57.3224
6,1892,54.6674
7,1892,52.7342
8,1892,54.3722
9,1892,54.4604
10,1892,56.6384
11,1892,61.5326
12,1892,61.3796
1,1893,64.8392
2,1893,65.5826
3,1893,61.736
4,1893,61.6892
5,1893,59.5076
6,1893,54.7988
7,1893,54.0212
8,1893,55.1912
9,1893,55.8158
10,1893,58.3538
11,1893,62.6162
12,1893,61.9214
1,1894,66.4952
2,1894,66.461
3,1894,63.9932
4,1894,59.6714
5,1894,57.263
6,1894,54.8618
7,1894,52.8008
8,1894,52.4282
9,1894,53.5262
10,1894,56.4746
11,1894,59.369
12,1894,64.4774
1,1895,66.3926
2,1895,66.1892
3,1895,64.0562
4,1895,59.576
5,1895,57.3242
6,1895,54.284
7,1895,49.856
8,1895,51.0422
9,1895,54.653
10,1895,56.255
11,1895,57.6788
12,1895,63.6314
1,1896,65.2532
2,1896,65.0732
3,1896,65.5088
4,1896,61.5632
5,1896,57.5402
6,1896,55.5926
7,1896,53.402
8,1896,51.9332
9,1896,55.4864
10,1896,54.8402
11,1896,57.794
12,1896,64.3982
1,1897,65.282
2,1897,67.5266
3,1897,64.5656
4,1897,60.773
5,1897,58.0964
6,1897,54.329
7,1897,53.3984
8,1897,52.6856
9,1897,54.6152
10,1897,55.6286
11,1897,58.8524
12,1897,61.3634
1,1898,64.184
2,1898,63.0464
3,1898,62.582
4,1898,61.1852
5,1898,57.848
6,1898,54.6044
7,1898,53.5946
8,1898,52.9232
9,1898,54.41
10,1898,55.7258
11,1898,59.945
12,1898,63.2912
1,1899,64.9976
2,1899,65.435
3,1899,64.4108
4,1899,62.5514
5,1899,56.0822
6,1899,54.7304
7,1899,50.7902
8,1899,52.2824
9,1899,54.7484
10,1899,56.0768
11,1899,58.8128
12,1899,62.1266
1,1900,63.5216
2,1900,64.9418
3,1900,65.705
4,1900,63.8816
5,1900,58.001
6,1900,54.7088
7,1900,53.195
8,1900,54.6584
9,1900,54.2462
10,1900,57.452
11,1900,58.7264
12,1900,60.8306
1,1901,63.3002
2,1901,64.0166
3,1901,63.1346
4,1901,61.2158
5,1901,56.6996
6,1901,56.5016
7,1901,52.2374
8,1901,52.6334
9,1901,55.5188
10,1901,56.5088
11,1901,57.9272
12,1901,60.7568
1,1902,63.6782
2,1902,65.3342
3,1902,64.8788
4,1902,60.5408
5,1902,55.9454
6,1902,54.4154
7,1902,51.2114
8,1902,51.4832
9,1902,51.4508
10,1902,53.996
11,1902,57.4736
12,1902,59.7794
1,1903,61.9214
2,1903,64.7798
3,1903,63.455
4,1903,59.351
5,1903,56.939
6,1903,53.7134
7,1903,53.015
8,1903,52.1906
9,1903,54.1328
10,1903,58.8254
11,1903,61.1024
12,1903,64.2344
1,1904,64.2776
2,1904,64.607
3,1904,63.6494
4,1904,60.1376
5,1904,56.7086
6,1904,53.8628
7,1904,52.9268
8,1904,52.5434
9,1904,53.7818
10,1904,55.0958
11,1904,57.5834
12,1904,59.018
1,1905,61.6046
2,1905,64.778
3,1905,64.1372
4,1905,60.9404
5,1905,58.9136
6,1905,54.5288
7,1905,52.2824
8,1905,52.61
9,1905,54.2426
10,1905,54.9896
11,1905,59.126
12,1905,61.304
1,1906,62.1986
2,1906,62.897
3,1906,62.2706
4,1906,59.6426
5,1906,56.7086
6,1906,53.663
7,1906,53.5352
8,1906,52.889
9,1906,53.5748
10,1906,56.399
11,1906,58.262
12,1906,62.2886
1,1907,65.0444
2,1907,65.0462
3,1907,65.5232
4,1907,62.8358
5,1907,56.795
6,1907,53.9258
7,1907,52.8746
8,1907,53.5262
9,1907,54.0806
10,1907,56.12
11,1907,60.908
12,1907,65.138
1,1908,65.678
2,1908,65.7032
3,1908,65.0084
4,1908,61.0646
5,1908,58.4276
6,1908,54.5288
7,1908,51.827
8,1908,52.0196
9,1908,54.6044
10,1908,55.1534
11,1908,59.0054
12,1908,60.8666
1,1909,63.1886
2,1909,65.2496
3,1909,65.3576
4,1909,60.7262
5,1909,58.874
6,1909,56.6186
7,1909,54.9716
8,1909,54.0068
9,1909,55.4414
10,1909,56.3432
11,1909,60.6308
12,1909,64.3388
1,1910,66.9434
2,1910,68.585
3,1910,66.1334
4,1910,59.6534
5,1910,58.487
6,1910,55.6394
7,1910,53.546
8,1910,54.0068
9,1910,54.7772
10,1910,57.4646
11,1910,60.7172
12,1910,62.1086
1,1911,64.0544
2,1911,64.4558
3,1911,65.9552
4,1911,64.6502
5,1911,58.5716
6,1911,54.8042
7,1911,53.0888
8,1911,53.5748
9,1911,54.536
10,1911,55.463
11,1911,58.6562
12,1911,60.1016
1,1912,63.2624
2,1912,63.8708
3,1912,62.5748
4,1912,60.7388
5,1912,55.8914
6,1912,54.1814
7,1912,52.4516
8,1912,51.5984
9,1912,55.292
10,1912,56.1452
11,1912,58.7192
12,1912,61.8908
1,1913,65.552
2,1913,65.8364
3,1913,66.1532
4,1913,59.7722
5,1913,54.5828
6,1913,53.303
7,1913,53.9636
8,1913,54.2174
9,1913,55.2308
10,1913,57.3134
11,1913,59.5616
12,1913,60.143
1,1914,67.3142
2,1914,66.362
3,1914,65.336
4,1914,61.6064
5,1914,56.3342
6,1914,53.6648
7,1914,52.5218
8,1914,52.4732
9,1914,54.2714
10,1914,55.9814
11,1914,58.6814
12,1914,60.656
1,1915,66.2378
2,1915,66.0956
3,1915,63.0266
4,1915,60.0746
5,1915,57.1388
6,1915,55.0544
7,1915,54.3488
8,1915,53.5208
9,1915,57.245
10,1915,58.2512
11,1915,59.423
12,1915,62.546
1,1916,64.7762
2,1916,68.5256
3,1916,67.4726
4,1916,61.8908
5,1916,59.1242
6,1916,56.8688
7,1916,54.6044
8,1916,53.573
9,1916,55.1966
