month,year,temp
10,1752,50.4338
11,1752,45.473
12,1752,40.928
1,1753,31.9046
2,1753,38.7698
3,1753,46.3352
4,1753,48.7526
5,1753,56.5736
6,1753,65.3234
7,1753,66.4754
8,1753,62.6
9,1753,59.7434
10,1753,51.7424
11,1753,41.1818
12,1753,39.281
1,1754,36.104
2,1754,35.5874
3,1754,38.0714
4,1754,47.9642
5,1754,57.9164
6,1754,62.3156
7,1754,63.6332
8,1754,65.5052
9,1754,59.0558
10,1754,53.3138
11,1754,45.284
12,1754,38.5754
1,1755,29.4548
2,1755,32.9648
3,1755,41.6876
4,1755,54.7862
5,1755,55.1102
6,1755,66.0344
7,1755,65.1866
8,1755,61.9628
9,1755,57.4862
10,1755,49.9496
11,1755,43.2266
12,1755,38.7356
1,1756,40.883
2,1756,41.6012
3,1756,43.4732
4,1756,46.7096
5,1756,54.6188
6,1756,64.751
7,1756,65.8922
8,1756,63.2246
9,1756,60.6884
10,1756,49.7138
11,1756,39.5996
12,1756,33.0908
1,1757,31.892
2,1757,37.6016
3,1757,42.3446
4,1757,49.73
5,1757,56.777
6,1757,64.0616
7,1757,70.4336
8,1757,64.8932
9,1757,57.506
10,1757,45.0788
11,1757,43.9376
12,1757,36.2192
1,1758,31.019
2,1758,38.0354
3,1758,43.9178
4,1758,47.0894
5,1758,58.478
6,1758,63.3074
7,1758,60.9278
8,1758,64.0382
9,1758,56.291
10,1758,47.624
11,1758,42.2852
12,1758,38.6816
1,1759,39.7616
2,1759,41.639
3,1759,44.3282
4,1759,49.9082
5,1759,56.3378
6,1759,62.483
7,1759,68.8424
8,1759,64.994
9,1759,60.2114
10,1759,53.348
11,1759,38.264
12,1759,34.223
1,1760,34.0556
2,1760,37.7384
3,1760,41.1278
4,1760,51.8882
5,1760,56.5286
6,1760,63.203
7,1760,65.4926
8,1760,63.4766
9,1760,60.4634
10,1760,50.945
11,1760,43.655
12,1760,42.1574
1,1761,34.457
2,1761,42.1826
3,1761,46.8032
4,1761,48.6554
5,1761,58.7498
6,1761,63.5306
7,1761,66.6194
8,1761,66.5528
9,1761,60.8288
10,1761,48.0578
11,1761,42.323
12,1761,33.0368
1,1762,40.0676
2,1762,38.0336
3,1762,38.5898
4,1762,53.717
5,1762,58.9982
6,1762,62.564
7,1762,67.919
8,1762,62.8754
9,1762,58.6418
10,1762,47.2316
11,1762,40.7678
